Time,History,Point_Forecast,Q05,Q25,Median,Q75,Q95
0,100.0,,,,,,
1,100.6397434445765,,,,,,
2,100.47654577314044,,,,,,
3,101.31185986509851,,,,,,
4,103.28693597085486,,,,,,
5,102.99494338071555,,,,,,
6,102.70379749853666,,,,,,
7,104.7801506555172,,,,,,
8,105.8107549861235,,,,,,
9,105.19927351346705,,,,,,
10,105.93344887810815,,,,,,
11,105.32929542898871,,,,,,
12,104.72553693405628,,,,,,
13,105.0577794838128,,,,,,
14,102.56784293388485,,,,,,
15,100.37484093384768,,,,,,
16,99.67814827557288,,,,,,
17,98.42600554229966,,,,,,
18,98.82822528484726,,,,,,
19,97.71570218964906,,,,,,
20,96.00381766625685,,,,,,
21,97.80468154679667,,,,,,
22,97.53848109890414,,,,,,
23,97.6331220491547,,,,,,
24,95.90764611667743,,,,,,
25,95.26344689355302,,,,,,
26,95.40802740962589,,,,,,
27,94.04567902001196,,,,,,
28,94.50313504167461,,,,,,
29,93.80186329956973,,,,,,
30,93.46890108213472,,,,,,
31,92.77405575384364,,,,,,
32,94.97584425816578,,,,,,
33,94.97100047792888,,,,,,
34,93.72497813781888,,,,,,
35,94.71258349216983,,,,,,
36,93.27804203421327,,,,,,
37,93.53495472483382,,,,,,
38,91.26476052141628,,,,,,
39,89.76096699239365,,,,,,
40,89.99458311123247,,,,,,
41,90.84659664415932,,,,,,
42,91.05378882637835,,,,,,
43,90.93204179934537,,,,,,
44,90.59852492591861,,,,,,
45,88.93709776776389,,,,,,
46,88.1446501108233,,,,,,
47,87.64501719517548,,,,,,
48,88.83069872837181,,,,,,
49,89.22671834936328,89.22671834936328,89.22671834936328,89.22671834936328,89.22671834936328,89.22671834936328,89.22671834936328
50,,89.29103274791692,87.54104344057549,88.53702572209517,89.29103274791692,89.9948879559301,91.20136629890337
51,,89.29845279817008,86.79372537280906,88.42738929261924,89.29845279817008,90.31979720585085,92.05859574029174
52,,89.28292468999132,86.21494828932268,88.13677548673661,89.28292468999132,90.65584125362844,92.66412762005221
53,,89.26830142437308,85.82759533487709,87.91140822601184,89.26830142437308,90.76707790412769,93.26426930935315
54,,89.30424539712382,85.28380482000664,87.70202391877677,89.30424539712382,91.00284584335557,93.57987743046769
55,,89.28765187301252,84.75729050128919,87.46051378437396,89.28765187301252,91.14131296503653,94.00343152831822
56,,89.31372074645607,84.39162181160056,87.37250098595092,89.31372074645607,91.26914075118714,94.2894041324797
57,,89.28548959618848,84.15857077379079,87.14470090104844,89.28548959618848,91.35796266410762,94.86031886153806
58,,89.25652860362415,83.85015082600907,87.07234796584108,89.25652860362415,91.53550565806492,95.42232229895819
59,,89.3533453295546,83.76481082391169,86.92820401634948,89.3533453295546,91.63269478983085,95.44743295151609
60,,89.34840175192792,83.25074424290335,86.83811365178204,89.34840175192792,91.71407080352526,95.8465135231879
61,,89.33644568059108,83.06737233667545,86.61041250188487,89.33644568059108,91.94644164304368,95.99785489713648
62,,89.54977613773646,82.99703305729572,86.53751379040213,89.54977613773646,91.99443309452809,96.198044983065
63,,89.52863598982904,83.09427031336168,86.41017779578469,89.52863598982904,92.19187479264005,96.5960329409234
64,,89.49496468936849,82.68153473738631,86.46973469501535,89.49496468936849,92.30347252279932,96.83303231345205
65,,89.57245952205233,82.36044781523243,86.53599811950042,89.57245952205233,92.43285308749014,97.0859509152425
66,,89.63695763111424,82.30188532090044,86.36773979809382,89.63695763111424,92.32547448891093,97.38619545922073
67,,89.6547169572408,81.86627560299196,86.39173826299712,89.6547169572408,92.74110833843277,97.62213041088296
68,,89.55915065186917,81.76446921010097,86.47355172891812,89.55915065186917,92.85128173253676,97.66162674674548
69,,89.4609349209604,81.29386569855487,86.27387868583655,89.4609349209604,93.21587949597951,98.46481395897882
